order,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59
0,0.0723547188304,-0.0677568541493,-0.0787779693504,-0.0980444520297,-0.105739986864,-0.103432321894,-0.112812288932,-0.114952915909,-0.129751300382,-0.116247649838,-0.110890112049,-0.115248131723,-0.119470169844,-0.135129658931,0.14024793474,0.144216924868,0.140162702398,0.135716784025,0.147298283644,0.141148335185,-0.142347220575,-0.128535992726,0.137865879756,0.148081059932,0.138907457373,-0.147314987972,-0.152116914845,0.160974339713,0.152089324991,-0.145418903077,0.151091442587,0.149231003937,-0.145605393003,0.143463528981,-0.153683102074,-0.159940022566,0.171223444375,0.173137870112,-0.159451259717,0.164255866858,0.172351331513,-0.171394322833,-0.173847098058,-0.17790367859,0.181623591122,0.185042156116,-0.172901554381,-0.178410474628,0.172042812026,0.159067242773,-0.157368816701,-0.123411278505,-0.148946078412,-0.164840223422,-0.16003852036,-0.167718439828,-0.152283320517,0.101819329595,0.0910329297799,-0.0639937512291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0749557325671,-0.0740365200247,-0.087594515924,-0.0873283088262,-0.090889788296,-0.104216984373,-0.112186902016,-0.125173680593,-0.113094469907,-0.121844296865,-0.118253411353,-0.115021145439,-0.128508431969,-0.126254216449,0.134872390851,0.144175819231,0.142442445963,0.146993848583,0.141175427708,0.138134377517,-0.139369233635,-0.137271196751,0.130418811003,0.145204900985,0.133902589061,-0.162453467374,-0.143839678946,0.165124460018,0.151837211932,-0.149723127728,0.147450269379,0.156182513535,-0.151140694899,0.133435494983,-0.144200600868,-0.165607120408,0.163199520858,0.173901370596,-0.161348196895,0.161238986284,0.173871771159,-0.172522327186,-0.177351440298,-0.18225835289,0.181796142729,0.182157362046,-0.171435508154,-0.182408969336,0.173946326562,0.159033361103,-0.151639144873,-0.123394939271,-0.143950359346,-0.166149237541,-0.162410896879,-0.168146763058,-0.150553948941,0.0983914533878,0.0932110898159,-0.0658268973679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0896294189964,-0.0789290691277,-0.0809315743457,-0.0843788129267,-0.0902700740598,-0.10060779228,-0.113122841318,-0.112735759944,-0.113294442061,-0.118733392166,-0.126548252048,-0.126551690559,-0.127767432173,-0.123765131748,0.129709989037,0.138030472993,0.147555457341,0.153475171583,0.136436049534,0.137091518528,-0.135132608559,-0.144574734646,0.13033924943,0.134185496395,0.140636450159,-0.164276547656,-0.145993293895,0.160656183453,0.154242947368,-0.154153219077,0.146048984468,0.160439872039,-0.15456964342,0.128291143845,-0.136243583227,-0.167738702483,0.156850092819,0.171809830653,-0.164742236054,0.159536385881,0.174005903827,-0.174189304813,-0.180837085583,-0.186209877305,0.182028593595,0.178652540523,-0.171143213822,-0.185477198818,0.175644703599,0.159340444238,-0.145333899281,-0.124742447223,-0.138908271676,-0.166930829765,-0.164927468051,-0.16832146171,-0.148632133468,0.0953151828482,0.0953538883996,-0.0677018839835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.077021749444,-0.0766217655019,-0.0867081761367,-0.091701168646,-0.0976437671467,-0.0982952068278,-0.100087949356,-0.100746098513,-0.11860231735,-0.117478031515,-0.128797319062,-0.138499237048,-0.124160984531,-0.12773457841,0.126217143473,0.132277821752,0.150075556095,0.149148039939,0.13973854716,0.135522008096,-0.135148609566,-0.143348796969,0.136635302841,0.124310005354,0.152176098205,-0.154133408804,-0.156844622617,0.150969809303,0.158104985848,-0.15699435419,0.149245077923,0.160719296958,-0.154537632345,0.129087430671,-0.13178240563,-0.16365427569,0.153893099836,0.166974194255,-0.168416044597,0.159888925707,0.172716058434,-0.176406009225,-0.184183179802,-0.189459581137,0.182346084428,0.174949047078,-0.172013345215,-0.187381829813,0.177143228041,0.159816338592,-0.138908403561,-0.127065962878,-0.134102902208,-0.167092457863,-0.167526774255,-0.168252785771,-0.146530968092,0.0926221073771,0.0974374124055,-0.0696188088752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.0650392290547,-0.0659517617421,-0.0882511877693,-0.101232410687,-0.100110839527,-0.0976365298446,-0.0886571501408,-0.104232089437,-0.10837806619,-0.12524249376,-0.12883363647,-0.133579316383,-0.13214198742,-0.129613840369,0.127529969307,0.132533234126,0.142595438901,0.140544645816,0.145659863211,0.136005685196,-0.13847872395,-0.136542289818,0.14143392321,0.127463542637,0.155695708367,-0.14392580526,-0.165483497231,0.144556427833,0.160008342602,-0.158477271995,0.156386237318,0.157545519889,-0.151242634538,0.1348352932,-0.131722017899,-0.153461874498,0.153939953135,0.16064388831,-0.170991448945,0.162489178051,0.170497070159,-0.178944206785,-0.187282971949,-0.191807590639,0.182701313065,0.17156269872,-0.173839358854,-0.188050809876,0.178418758557,0.160264254014,-0.132860446526,-0.129926420285,-0.129817947916,-0.166571633247,-0.170130950764,-0.167956026374,-0.144266924905,0.0903378094269,0.0994399412158,-0.0715775443924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.0669610408194,-0.0666374307322,-0.074682852449,-0.087868639853,-0.0987519766516,-0.0945573305436,-0.103265885522,-0.0998026048046,-0.107436394766,-0.122031288004,-0.128483259409,-0.124180011876,-0.139416036685,-0.132307195731,0.133402300941,0.135380703262,0.128955316521,0.134942306862,0.145262237096,0.141608906828,-0.140365486789,-0.132087656422,0.140167570992,0.144067796656,0.147190078391,-0.142823873355,-0.162929416433,0.147226271506,0.157940821768,-0.159822015785,0.164216148801,0.152956409638,-0.146291378823,0.143009875076,-0.13547886105,-0.140107181423,0.154773566107,0.154685358434,-0.171413225213,0.166841625154,0.168277334696,-0.181413738784,-0.190026873063,-0.193170844695,0.182999279099,0.169027049843,-0.176267254936,-0.187568882325,0.179410697487,0.160493523292,-0.127678536472,-0.132879524816,-0.126312265794,-0.165342907231,-0.172647257087,-0.167450270374,-0.141859906376,0.0884815879934,0.101342204232,-0.0735776915637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.0610256681371,-0.0599646118979,-0.070591639379,-0.070655920708,-0.0797592399252,-0.103771208719,-0.108085864098,-0.106362192785,-0.112965432273,-0.111131027524,-0.120107702101,-0.127616074416,-0.132435688243,-0.139715366762,0.139964816969,0.134068911982,0.121868488218,0.131319949138,0.138490634249,0.148045440349,-0.139853951284,-0.133787125905,0.137508265257,0.16026664899,0.136569810552,-0.14848461347,-0.15085851553,0.156496101191,0.153830878395,-0.161606814891,0.168866700074,0.149372831343,-0.142052161948,0.150588346734,-0.14119681512,-0.12812858693,0.153582806495,0.150716270018,-0.169354813943,0.171847119262,0.167152341522,-0.183407463485,-0.192281578227,-0.193580285337,0.183137595204,0.16780327111,-0.178868121014,-0.18614894534,0.18002238042,0.160348132041,-0.123790801351,-0.135521139786,-0.123796215738,-0.163422669596,-0.17497074504,-0.166756900056,-0.139333231615,0.0870662907175,0.103127593563,-0.0756185400771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.0422028649194,-0.0449156191422,-0.0560531394117,-0.0695102718038,-0.0785673435292,-0.0896052820861,-0.104500877936,-0.120267380251,-0.112516338147,-0.108954287888,-0.110874469041,-0.128899301978,-0.126583812664,-0.142423033841,0.142650593896,0.130091832913,0.126198823105,0.126946492997,0.13226833709,0.146902545313,-0.140323253433,-0.139556662682,0.141031805766,0.161494785525,0.136770371838,-0.151557831536,-0.139525857986,0.163710176123,0.152170065365,-0.163131918152,0.168062339734,0.148336914231,-0.140714151845,0.155186305784,-0.146516439067,-0.12168050611,0.148542022005,0.149313399151,-0.165361546347,0.176110395039,0.168024472636,-0.184662164244,-0.193880454066,-0.193158889749,0.183051133924,0.168194092807,-0.181221113994,-0.184085712846,0.180132617399,0.159729199714,-0.121520142971,-0.137527461043,-0.12241213021,-0.160871127595,-0.176988044991,-0.165897909417,-0.136713540437,0.0860982573906,0.104782329648,-0.077699034657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.0229517998125,-0.0283053979849,-0.0439240510516,-0.0623925537272,-0.0789086742663,-0.0793376677429,-0.0984708624927,-0.110579514171,-0.115074866184,-0.113420553697,-0.113561613089,-0.116482696062,-0.13148739559,-0.135088944905,0.137706362883,0.131226536379,0.133536903856,0.12512712444,0.129842897648,0.136753356979,-0.14301346096,-0.146528247917,0.150696371188,0.14824925259,0.148878309695,-0.147340899026,-0.137664135109,0.161999035843,0.155729633753,-0.163217846067,0.162239478877,0.149864315241,-0.143363252664,0.155866758555,-0.14954686848,-0.122728395706,0.139941280335,0.149706109425,-0.160640399452,0.178384521369,0.171264586697,-0.185173171835,-0.194638382986,-0.192086208229,0.182748130374,0.170279638107,-0.18299075082,-0.181700814093,0.179615227996,0.158608654009,-0.121050490403,-0.138685953543,-0.1222208637,-0.157791046541,-0.178582164964,-0.164894126993,-0.134030599388,0.0855773755639,0.106295578397,-0.0798177482721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.01637576402,-0.020681935014,-0.0338055997199,-0.0461257914304,-0.0588592929964,-0.0870553171664,-0.0850675017949,-0.0911963426929,-0.111431362261,-0.119571547454,-0.119493794041,-0.112429554461,-0.128668456145,-0.126295625365,0.127709063277,0.136996975392,0.135996120562,0.129760452183,0.128596484082,0.126187724551,-0.144503255203,-0.153587971656,0.158069566346,0.136013461171,0.160333646064,-0.141099015383,-0.144809817324,0.152571752484,0.162408782979,-0.161401127672,0.154138488436,0.152714982345,-0.149432005372,0.153342338105,-0.149599251974,-0.130237578423,0.130278751333,0.150148380269,-0.156557815347,0.178001521161,0.17651583215,-0.185212824783,-0.194395375301,-0.190558323286,0.182326448054,0.173889474955,-0.183983795609,-0.179289364018,0.178363003951,0.1570326894,-0.122407709209,-0.138914012643,-0.123195794155,-0.154323101019,-0.179638109849,-0.163763449999,-0.131316995476,0.0854972467392,0.107659519272,-0.0819728624857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
