order,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59
0,0.489897999109,-0.33953288899,-0.231480025305,0.0249636084395,-0.025264908472,-0.518408848883,-0.196165977793,-0.058981045634,0.0398355775129,0.259400715296,0.439416686004,0.274008925062,0.213454652275,0.242970699995,-0.589336299038,-0.139271769614,-0.212202993539,0.046309883801,0.0295510969285,0.442913575461,-0.417169666547,-0.433227291879,0.119970283353,-0.188131586234,0.0456642476713,-0.0142375037995,-0.124250463494,0.451188022652,0.317178244352,-0.310579130853,-0.096282815119,0.00272107430021,-0.193794361397,0.340724573365,-0.0644359304178,-0.32451084323,0.0559080104957,-0.493628825993,0.378333873747,-0.219415133158,-0.25968023366,0.42189148973,-0.0403748166719,0.534359114168,-0.47214861133,-0.0868902597051,-0.190933423035,0.0106729443915,-0.347221589047,0.17307881059,0.0671571425479,-0.146592664096,-0.424603362207,0.112308478463,-0.621988643783,-0.207009224404,-0.0125976576845,-0.422831725793,-1.083345726,1.62881525613,2.75387971549,-1.42863386667,-1.97010583919,-2.30643213834,1.44038883584,0.150106141452,-2.77931008205,0.875613182637,-2.34926158337,2.78775035163,4.35937653141,2.35021571239,-3.63368067899,0.82942506758,0.253378277064,0.382367508545,-2.94611843518,1.44780425031,-0.960249103991,0.520129611596,-0.889864298573,-1.14655700652,5.4058799924,-2.92736402628,2.39331816481,-0.330981799282,1.47518844941,1.1964116366,1.28434781878,0.111501888798,2.86155112734,-2.70195197769,-0.773638571217,0.213816278897,0.655065030706,1.39069119155,-1.49140101689,2.87062747701,-0.367472785166,-0.252925548245,0.50018732056,2.60369904749,-0.597188822185,-0.738400934207,1.08644296541,1.4170142154,-1.05045459347,1.19823004239,-0.147354004651,-0.415996337491,-0.686689551293,-0.313457860082,1.18324631624,2.5189560549,-1.67509097334,-0.408641622999,-0.16212996624,1.14598203641,-1.19710624466,-0.458460362746
1,0.346190993604,-0.417121833144,-0.399039247214,-0.394733068384,-0.259845174354,-0.0837150595012,-0.407715576882,-0.116400401935,-0.0211082829286,0.450124091838,0.680827834595,0.498639480218,0.0156690552626,0.352993848211,-0.347224360702,-0.267074546744,-0.363743592005,0.0726476471411,0.0526864324147,0.392727334975,-0.508344019309,-0.511185271471,0.592005379615,-0.314226604348,0.206787489957,-0.0689096086251,-0.0242375597481,0.500195560594,0.453579515214,-0.273447677454,0.213984766768,-0.228918584901,-0.253143320468,0.326281712502,-0.0408144968383,-0.148847903728,-0.100361034436,-0.178509610449,0.335569690096,-0.25318354234,-0.221164044691,0.645920571343,-0.0540207439653,0.435995084954,-0.353397040467,0.0497629348133,-0.281307942398,0.13023959854,-0.345033780616,0.117869648474,-0.00799147819566,-0.177819882201,-0.297301483443,0.350620105055,-0.778941676154,-0.249922552833,-0.0284020312841,-0.308442508217,-1.20192318516,1.58224608421,-3.46077313683,1.57626218427,-2.26215420965,-4.32287376191,-4.68432358378,4.6616764495,0.746436598371,-2.45918855391,1.63047428141,0.632750985003,0.373932467164,1.55294535577,0.702236200829,0.519289422668,3.7374865777,-2.54368542822,0.107222045759,-1.09511346699,1.3654365715,-1.35344992694,-0.812453993673,-0.689818136542,3.39622817783,0.947982377285,0.602626904926,-0.742557693757,0.377228553649,-0.248100873434,1.33423974978,0.427246081163,3.01954208052,-1.64312934525,-0.294612486763,-0.482358997397,-0.145309011404,2.07833779628,-1.53322042029,3.27028782753,-0.529628322958,-0.395412237128,0.215738569202,1.80068012884,0.347631268762,-1.22019945533,1.2881105678,1.30969109057,-0.743444832646,1.16578965629,0.177984292127,-0.676763373981,-0.806511242175,-0.306571076549,1.36000074745,2.23203516596,-1.45006096996,-0.451744082477,-0.155599413823,1.13888502723,-1.17211749395,-0.472317659466
2,0.120178678228,-0.189686497026,-0.50348902734,-0.660096272281,-0.534061256797,-0.170596608775,-0.0283556491092,-0.28813052603,0.204794138814,0.403573072676,0.553046818301,0.532905399835,0.365932334493,0.26632169504,-0.0544457246573,-0.478551196143,-0.255528286389,-0.114808137847,0.223268155461,0.242816182794,-0.549063351986,-0.605083556704,0.737294859304,0.0255600233238,0.17168971825,-0.15076711773,-0.0607823329069,0.413552200837,0.557439781366,-0.263353342511,0.451275826722,-0.282354661972,-0.236239623093,0.252048625268,-0.0788391596594,0.0771794533469,-0.232395271911,0.128460166289,0.264924176793,-0.292961215236,-0.224863894193,0.7715906829,0.0292009955062,0.294242644404,-0.214656171416,0.17391520379,-0.337460489724,0.238555848653,-0.314774515525,0.0405666179865,-0.0919359721247,-0.206996200028,-0.153397692744,0.555999878163,-0.909447902697,-0.297706364249,-0.0440533194841,-0.195633858786,-1.31730795418,1.53447224284,-0.974470766929,0.25087821427,1.68496381006,-0.418127364139,-0.246860821805,-5.67167156476,4.23310490993,1.24449553385,1.48664576142,-1.16925041371,-2.54940583432,-0.659478098212,5.27424071723,-1.9267031499,1.3017615055,-0.779127550722,1.42947055445,-2.0423101009,1.45520739706,-1.22841846134,0.109479634048,-1.18467551218,-0.401634924348,5.50812179143,-1.02223912029,-0.807416253055,-1.07292912663,-1.34309247948,0.612230929345,-0.366724818318,1.52925262214,0.689576393172,0.662624451551,-0.952834607807,-0.514138342145,2.35046369154,-1.0321039889,2.72236080675,-0.91125195876,-0.373009997579,-0.315452588522,0.687217791666,1.29333402024,-1.58485953649,1.48555203188,1.16838700409,-0.372013938472,0.975849610046,0.409443688072,-0.852723308087,-0.860267132075,-0.272365541475,1.51292105029,1.8637683109,-1.14856514764,-0.505257838034,-0.159136802349,1.11442335259,-1.13329514071,-0.482560305637
3,0.216897419309,-0.247618352577,-0.26584355884,-0.382505208702,-0.509727007823,-0.587848518636,-0.0521138842477,0.218412720667,0.190773274364,0.261801109719,0.270580185839,0.456347517279,0.76033165804,0.140743922631,-0.119080788453,-0.342527841784,-0.175491710049,-0.22183536913,0.248829640936,0.202358435438,-0.488221073319,-0.712400441636,0.598144901142,0.648670262996,0.0907788681487,-0.215116394885,-0.214763325639,0.269308867415,0.558208236804,-0.35688533032,0.505632450703,-0.0939461892139,-0.127587105741,0.1453918962,-0.121144690688,0.300444443118,-0.296597370779,0.342265577728,0.150885982808,-0.322796099849,-0.285593997968,0.783900714278,0.19545166108,0.126719689509,-0.0567549803319,0.282592249724,-0.354944431921,0.321027325254,-0.266898988129,-0.0490293649439,-0.17748390403,-0.23136972132,0.00402264564095,0.721406363279,-1.00664400186,-0.351145759959,-0.060575382792,-0.086120851495,-1.4281324085,1.48585260093,2.60144896089,0.463057311416,1.36475228225,4.99266920887,0.245456909373,-0.265873250727,-4.51425507252,6.53186560485,-0.868132794217,-1.69510501484,-2.54541983341,-0.508850104281,1.24517404947,0.348680908376,-2.12680505723,3.21461693489,0.0502012878778,0.200839278378,-1.1190790348,0.458399427607,0.969728993127,-0.672072988706,-1.7366429962,6.06722833152,-0.105129480884,-0.444629322243,-1.82107849507,-1.33772941556,-0.623113306719,-1.45123846461,-0.379307069642,2.93355395522,1.41222203943,-1.13888350634,-0.220158871241,2.00680942602,-0.228408971576,1.47118756488,-1.3629558562,-0.201854942816,-0.886097414067,-0.410913086814,1.96535244467,-1.72044885522,1.66840085003,1.00166696529,0.0221477854069,0.655066562269,0.528940823481,-0.919815494218,-0.837450644466,-0.210465502009,1.62807560769,1.43655676935,-0.786840140363,-0.563893495367,-0.173046656175,1.0730806343,-1.08098304152,-0.489246500305
4,0.281032068131,-0.233012265248,-0.166398945763,-0.116990867299,-0.302040780239,-0.318079839295,-0.371769532406,0.375040328678,0.229042533919,0.0821445454089,0.12513363367,0.420283393918,0.550764925051,0.388609160902,-0.339504977775,0.0017766895383,-0.188244223737,-0.0962185687163,0.0439644407628,0.291547713086,-0.395818919922,-0.690190748174,0.508540178012,1.08213728921,0.22200758209,-0.247840277397,-0.383803706695,0.18012362254,0.443192229003,-0.524345945294,0.410692575504,0.25461358198,0.0172803270902,0.0302401874537,-0.104187695397,0.45887527968,-0.27897660572,0.414771340442,-0.0022536390643,-0.329838443541,-0.395712406311,0.700172592722,0.405958879823,-0.0401830509039,0.117693908854,0.37371237683,-0.333915472855,0.366706535818,-0.212686479913,-0.139451740404,-0.256775468818,-0.248160337956,0.170532168275,0.842175011393,-1.0654449647,-0.410452395351,-0.0790105484809,0.0184464150842,-1.53307196071,1.43673834184,-2.09698820039,-0.397701031902,0.960874737318,-0.655882027425,4.42230909985,3.80378971976,0.893320924976,-4.82776007938,1.4919739228,-1.42985538848,-0.253265912003,-0.644652248632,-4.57580353369,3.97376481897,-1.6818514514,2.66277466487,0.209858637242,1.87599614349,-2.43536673876,0.937483990408,0.685129377124,1.21525227899,0.317919684556,2.09990710515,2.85367583751,-0.331837292249,-1.36905677923,-0.335950318045,-1.55060105512,-1.68220867339,-1.26188358955,3.71836925454,1.31355390256,-1.1458468829,0.624232468826,1.08207416,0.550332696652,-0.0165545829017,-1.65294097681,0.0734149091954,-1.26752142184,-1.19005256021,2.15233961254,-1.56873010119,1.81079854986,0.818889705228,0.389750746819,0.248797215842,0.538028401504,-0.869089622915,-0.735388621951,-0.120708573377,1.69274526517,0.975286681692,-0.384043271977,-0.621534760443,-0.197384257816,1.01567139826,-1.01569709663,-0.492471572602
5,0.0477740277615,-0.0660226621379,-0.186277558315,-0.182255370814,0.0902876686382,0.0472976716699,0.0529810174778,-0.322868253757,0.201582476461,0.0873105445347,0.176071027504,0.248594385687,0.133724437028,0.692960313192,-0.413075659132,0.0582617359159,-0.0641484211264,0.0578596469597,-0.119182133307,0.317584276602,-0.366389066959,-0.496206231342,0.663654144887,1.05536421059,0.62752521343,-0.316658790371,-0.463781499015,0.207399591082,0.283276619747,-0.647289109088,0.307774582531,0.584423727091,0.1026333615,-0.0816494166939,0.0088291237329,0.506899434435,-0.196621232585,0.348045974662,-0.167132230006,-0.306820267594,-0.526885393044,0.563016634557,0.606774188035,-0.177970455184,0.302691068017,0.446173647352,-0.279547764934,0.36983883499,-0.162342274597,-0.219132888651,-0.322099515755,-0.254592024109,0.340538909782,0.916190077925,-1.08278241087,-0.47520157883,-0.100391823952,0.116515391819,-1.63086192457,1.38746931275,-1.77483351364,2.79991860559,-0.407123628415,1.26329410835,1.60778903273,3.8991415657,4.69087309444,-4.99579310041,-3.47340167462,1.58620724238,0.846194722967,-2.80618854004,-2.45461782081,0.872540264309,0.0626703604106,-1.60585085553,2.2350878576,0.891738305756,-0.385676016397,-0.618421601771,-0.0204070331264,2.31156048119,2.43450486874,-2.26761986228,4.82203188728,-1.2342470647,-0.199519805883,0.823659113646,-1.44981871937,-0.574338780939,-0.556660652012,2.58819481886,0.264723126427,-1.08466245346,1.61888136162,-0.136232581401,1.03178985067,-1.23675571208,-1.57002234018,0.387039467625,-1.2864444799,-1.46128154206,1.77027610602,-1.14798443951,1.87148688626,0.630212383136,0.680982905077,-0.185813412793,0.456090926807,-0.707406659641,-0.55971725779,-0.003395254661,1.69653730128,0.505786140933,0.03884106942,-0.671641622674,-0.231898521944,0.943329655589,-0.938118000815,-0.492366658593
6,-0.0691976821914,0.00784560933917,0.0583324997294,0.0983442369073,0.0972026749999,0.362116439351,0.178459537362,-0.209186495998,-0.341132013784,0.214415810175,0.212061433475,-0.0319269165162,0.129908054958,0.468368931059,-0.374625960009,-0.217054062633,0.165144926404,0.0826884407125,-0.0152448074471,0.180201469525,-0.361402211665,-0.316159782176,0.884184328425,0.758384445353,1.07370403909,-0.520229876017,-0.439399541107,0.320731088898,0.187734730675,-0.615712159273,0.328517420483,0.732956377875,0.0572428912538,-0.184551617604,0.207691740607,0.436380657928,-0.086694055176,0.188523506889,-0.300620522369,-0.253759172271,-0.638757256411,0.425635572046,0.743265523013,-0.263936002264,0.487622250296,0.499892113576,-0.201701886761,0.330608610408,-0.12341855408,-0.277929447822,-0.366703822355,-0.247958527312,0.5075708589,0.943900483808,-1.05772908918,-0.544311482573,-0.125709519843,0.20666218033,-1.72031352347,1.33837052844,0.0843590364929,0.246687773276,4.41604773255,3.17192747256,0.577626267558,0.87075029582,-1.62426657623,5.84627503654,-4.68738571258,-0.507093409053,-0.452797924458,-1.90283196002,1.67481977746,-4.84359940328,0.577275196508,-3.02184964895,1.62368675918,-0.119960558029,2.19008925152,-1.82458592465,0.352169195849,0.891884814626,1.3808985102,-2.91397500753,3.53657043358,-2.85557845442,0.507360327552,1.28584831886,-0.343088360446,1.21266476869,0.997057982854,0.303635808273,-1.16141130675,-0.955631860725,2.26083276716,-1.21321952288,1.09698363025,-1.83300867061,-1.02406868638,0.660798798994,-0.882658243661,-1.20690553261,0.890475086845,-0.5537899994,1.80127527995,0.445585307072,0.853195067419,-0.588697645535,0.315878557885,-0.455979202873,-0.323795749554,0.140300566578,1.6323993936,0.0532639649981,0.46017284865,-0.707685072103,-0.275978178148,0.857490835387,-0.849081403004,-0.489096942778
7,-0.0397356040207,0.212091271482,0.32207958018,0.36383345059,0.35058432259,0.142015132882,0.0766852641767,0.235132243123,-0.269549543392,-0.124483728119,0.0435512237162,-0.0129271982345,0.238355659179,-0.0380741580885,-0.280397023545,-0.387392962413,0.148043012546,0.0971264682232,0.222394154394,0.0329903428834,-0.269973637606,-0.351661474504,0.863351940214,0.591744602115,1.25815998085,-0.861867869631,-0.410207400662,0.435406563521,0.221460856365,-0.427676381773,0.486559394657,0.654980913182,-0.111767990973,-0.267352913658,0.43613372297,0.282482620055,0.0105242619578,0.00567987528932,-0.359159805079,-0.17859559353,-0.691667778689,0.33408864587,0.775161766959,-0.28792781422,0.657114702672,0.535693211358,-0.113844781505,0.254960338111,-0.0997816452605,-0.308405148884,-0.38549718679,-0.225735578394,0.664653143592,0.928182855928,-0.991505193232,-0.616066296432,-0.155872874074,0.287620489225,-1.80032879139,1.28974887154,-1.65288460912,1.72032947156,0.749362350056,2.17784949325,3.01960841788,-3.4882839117,0.560714900244,0.95840931804,6.14806211327,-5.20926644079,-2.93291349377,2.13327698049,-0.454317102664,-3.96935164178,1.52036014302,0.0663416233803,-2.0998953108,0.582871548146,2.04264587439,-0.755617158618,1.4304250294,-1.47378685133,-1.85157905062,-0.12424509888,0.0341831147789,-3.70539651647,-0.179245140925,0.903954229341,0.962262057454,2.32573717011,1.94815685013,-1.69782168845,-2.06071560957,-0.664854224108,2.16685249608,-1.75092937225,0.798607920886,-1.71154227867,-0.100048367249,0.817120092253,-0.13028767387,-0.583120583451,-0.277828082883,0.0639565418777,1.55686364404,0.2728950028,0.877974579,-0.906246161565,0.157211095319,-0.14705467097,-0.0471571714178,0.307825384441,1.49744367776,-0.35916906084,0.858837233422,-0.723586747923,-0.328606474786,0.759866940509,-0.749565624359,-0.482859489343
8,-0.352392017976,0.265227184161,0.36138436322,0.475445868626,0.379087144611,0.116887853631,0.175059808114,0.108795854643,0.367989511875,-0.414391343527,-0.292045069751,0.191720399625,0.0190758323737,-0.190324925095,-0.0513672410921,-0.211729869585,-0.167124924823,0.176466418684,0.32616664484,0.06210787872,-0.123279080064,-0.531965015674,0.574363015881,0.716594381518,1.11522862432,-1.19050671215,-0.514736053023,0.49569092129,0.354438015896,-0.206903811308,0.662921695925,0.441364721158,-0.315292099961,-0.309739683228,0.612872475827,0.110584989106,0.0664950843513,-0.135528514843,-0.316047257967,-0.0962438621677,-0.659381734583,0.312095002007,0.687709900242,-0.25583701165,0.79245419538,0.555001767092,-0.0313409639391,0.153520148217,-0.0912558020087,-0.306711085256,-0.375557512953,-0.185744675344,0.804754665336,0.874064770834,-0.887368939966,-0.688182474656,-0.191667784982,0.358307767267,-1.86991413151,1.24189002891,-1.83297745756,1.67320744045,0.336131235249,-0.584048533425,-2.30403670344,3.50226077469,0.480418120731,-1.25703033972,3.17595095304,1.12784773572,-2.86719420173,0.490437092082,-3.21650296843,0.732082302531,2.91148011568,2.99243796009,-3.31249965902,0.640891739429,-0.0464390382346,1.26225588107,1.13027613775,-1.5796074236,-3.35276554047,2.20358261348,-2.47911294777,-2.4978046644,-2.00491135069,0.354587819485,1.5201641562,1.79359630738,1.2891975362,-2.29879148746,-1.79739409507,-0.145741442085,1.23874023502,-1.56764921618,0.304964906753,-1.04844399689,0.95881364233,0.797489440107,0.783103712976,0.132103989996,-1.4459356325,0.542092154615,1.11746596046,0.115942203046,0.746473735056,-1.09966533752,0.0199355087402,0.18071228373,0.246775538294,0.494738251426,1.29349915785,-0.711802654415,1.21536756707,-0.714136756791,-0.388329470081,0.652414948355,-0.640677131679,-0.473880694423
9,-0.324461322894,0.42930708102,0.426524658524,0.256202104235,0.228135646549,0.464034168436,0.222120383958,0.199540571553,0.151590908594,0.0475103803644,-0.328713741303,-0.0848958968804,-0.231302058262,-0.0551677685787,0.225599313104,0.0931088971957,-0.33037537525,0.14982494114,0.241316844482,0.233015628942,-0.111780394632,-0.572711743153,0.316640582206,0.919165260098,0.862601112843,-1.306692844,-0.800595921932,0.530460803163,0.490488889025,-0.116745726615,0.698247175785,0.245067314781,-0.434118416891,-0.291153370692,0.663616175252,-0.0108613486957,0.0714733684248,-0.197676206644,-0.173572655659,-0.0256702261764,-0.537862675283,0.353179609218,0.495599317713,-0.188545776048,0.874591671183,0.559361919781,0.030663588643,0.0397918689316,-0.0939603159508,-0.272966433707,-0.336387826343,-0.126363203416,0.921273575493,0.788329987209,-0.750400369215,-0.757914607559,-0.233712245978,0.417847846664,-1.92819231994,1.19505570034,0.535542756719,-1.11217408773,0.43360594085,-2.31504105243,0.593833544766,1.04748349206,1.45056694751,2.25686110454,-5.52101711263,5.93498367715,2.64242208133,-5.62864414112,-1.31594063619,0.957432816823,2.15624562158,2.5896827431,0.667471324055,-1.36442124982,-1.3831714618,1.80142323366,-1.08210808127,1.00542628224,-1.31232081987,1.29317716902,-2.10745188846,0.289040923437,-3.50919049163,0.504301208856,1.06331087925,-0.131023213299,-0.713027563405,-1.44147120592,-0.444834792294,0.528617256423,-0.288573111248,-0.787958507823,-0.192055893417,-0.196213641341,1.83381260004,0.582495687891,1.61259141686,0.629845929488,-2.32821551353,0.751654985509,0.49905655289,-0.0267707644782,0.472107502358,-1.15092486735,-0.062710326656,0.487499643481,0.533388283522,0.694310427712,1.02732698844,-0.989372813246,1.51294822414,-0.67536433129,-0.453242471311,0.537298664582,-0.523634008715,-0.462413396299
