order,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59
0,0.077171265701,-0.0679746033224,-0.0879314673227,-0.0919267769504,-0.102765616448,-0.0973332780604,-0.101714110944,-0.112843230087,-0.104123412265,-0.112740710166,-0.128348282539,-0.129651876578,-0.133399904033,-0.122876463632,0.12562611326,0.126658773326,0.125496512498,0.131438724084,0.13372843664,0.146893179689,-0.159386005497,-0.153163677432,0.135783399495,0.142132983309,0.138153303682,-0.147440093587,-0.14728711026,0.150524367833,0.150485448101,-0.154813737774,0.123656155602,0.13289522791,-0.138537612558,0.140118886624,-0.148646736667,-0.14274138748,0.155558234546,0.155839644466,-0.169186951786,0.188572680363,0.179032907883,-0.180217596743,-0.165363891539,-0.148004703931,0.15863153036,0.167925112203,-0.1663573608,-0.172927256038,0.172809698468,0.201557417021,-0.215901447314,-0.185595537892,-0.214489548882,-0.192466855359,-0.170895998336,-0.153380183368,-0.188469318577,0.16064551629,0.15631620654,-0.150713452046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0830435199147,-0.0801804723671,-0.0858674754544,-0.0903060326482,-0.0918151863383,-0.101406307903,-0.106243563048,-0.0995328124726,-0.117313141134,-0.120411808477,-0.126173073521,-0.119527706394,-0.122372929065,-0.127541607192,0.130162497133,0.128063069855,0.122630975766,0.134887581549,0.12923810942,0.157408080789,-0.155596122816,-0.144255583835,0.139868164019,0.139688885004,0.136790827943,-0.152746120396,-0.150925337222,0.152141214295,0.145767208816,-0.151461698828,0.122283253163,0.130131253502,-0.140077597677,0.143166518529,-0.150302187969,-0.135356499056,0.15770223878,0.15563915636,-0.176191469687,0.187021614609,0.170759626199,-0.181356892059,-0.164610058901,-0.152485406572,0.166961312113,0.164454736681,-0.163670223404,-0.17439878357,0.173397469855,0.203312372943,-0.213787858236,-0.187236912924,-0.210617712661,-0.191991244698,-0.175657960959,-0.150514806691,-0.190830367107,0.154938084507,0.154978596424,-0.15112091582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0863279555598,-0.0820598300256,-0.0860894455266,-0.0904434493124,-0.0918463186041,-0.100062608472,-0.100858022459,-0.10864035173,-0.11882331815,-0.128372846509,-0.115017207572,-0.116271749751,-0.113342656204,-0.130467927396,0.131785390277,0.128175386397,0.128619897664,0.13054166523,0.139222456099,0.155051468203,-0.147786010405,-0.138187605813,0.145638530187,0.13663318558,0.141077760691,-0.152902780717,-0.15526553884,0.151966172006,0.14379418526,-0.140691517641,0.128726912972,0.127789358701,-0.14031371846,0.146787026868,-0.148617619049,-0.133318735783,0.156538977773,0.158143827359,-0.181936815045,0.182637509303,0.165104319781,-0.180113316132,-0.164351333424,-0.15893461413,0.174132205005,0.161104228631,-0.161580871018,-0.175292452215,0.175221661632,0.204248311658,-0.210528956476,-0.190261690485,-0.205771534985,-0.191631312078,-0.180365184399,-0.148402287134,-0.192526728444,0.149489098333,0.153631990015,-0.151498879373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.0774673557303,-0.0708513275722,-0.0915576680778,-0.0928309986753,-0.101031749518,-0.0926585958905,-0.102833589574,-0.120598602522,-0.117778621934,-0.117775037576,-0.114590425651,-0.112042237234,-0.117256814409,-0.123522366432,0.130134574667,0.130656287846,0.135733555232,0.129618354274,0.151934003649,0.142704528304,-0.139182203751,-0.138494484152,0.145959285591,0.138066362718,0.147599419337,-0.150196872682,-0.157996576938,0.150666222996,0.143103613902,-0.128147620191,0.137614823153,0.128043840646,-0.139367529281,0.149530925021,-0.144389875543,-0.136819482812,0.152423874388,0.163253608437,-0.184918743868,0.176405439168,0.162614280897,-0.176165703657,-0.165019238222,-0.166880324632,0.179425685876,0.158611916461,-0.160172287888,-0.175498162263,0.178204158304,0.20425612174,-0.206455839234,-0.194285171143,-0.200243569284,-0.191379614776,-0.184838871802,-0.147173315544,-0.193468535357,0.144368042613,0.152261736681,-0.151843576019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.0649351900131,-0.0723583131046,-0.0772669052673,-0.0992859488755,-0.0950234136671,-0.107327634462,-0.113031583828,-0.112455787771,-0.117634620676,-0.105234973931,-0.11545799232,-0.113915010891,-0.122195143045,-0.116465135579,0.124900910501,0.135235591319,0.137817960702,0.141677998673,0.150592934406,0.132563215858,-0.132062795477,-0.141750029596,0.141130656732,0.145132539195,0.152062450647,-0.148791290259,-0.156637106054,0.14934395309,0.14096652118,-0.12105739465,0.14270609548,0.132322451132,-0.138111906602,0.14965491592,-0.139879177822,-0.143669383218,0.14758844599,0.169526917976,-0.184370910637,0.169717345143,0.162787729592,-0.170041098583,-0.166783748529,-0.175569294601,0.18253244638,0.157533771464,-0.159467618469,-0.175058209784,0.182101303087,0.203313190723,-0.201949645413,-0.198826420666,-0.19438524089,-0.191206344391,-0.188921108114,-0.146926852085,-0.193590333931,0.139635084623,0.15085473461,-0.152151268121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.0661879557836,-0.0572982049615,-0.0794281875953,-0.0769028511332,-0.105260046838,-0.116126333278,-0.116434720931,-0.108310129893,-0.104106957648,-0.110719051666,-0.108987700156,-0.121836863011,-0.118567765652,-0.118153440017,0.120817340844,0.135361374714,0.140434848939,0.155605964005,0.137415057017,0.130052431295,-0.12918240393,-0.141215271791,0.137860495135,0.153059681096,0.153442496281,-0.150456549272,-0.1512233661,0.147767098682,0.136507222994,-0.123142886628,0.141244029887,0.13971812924,-0.137806444875,0.146212689914,-0.137510787492,-0.150566425748,0.145060692072,0.174730339803,-0.180424316705,0.163943604717,0.164358339721,-0.162990091829,-0.169511851748,-0.184069958414,0.183576249864,0.158158184848,-0.15946114071,-0.174153602283,0.186525575999,0.201488542493,-0.197402034426,-0.203354830049,-0.188577888159,-0.191065120384,-0.192480526782,-0.147724988647,-0.192853653877,0.135339847688,0.149399778069,-0.152418228153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.0540900448408,-0.0603630256401,-0.0618923670185,-0.0898256116993,-0.0953139654795,-0.107660498076,-0.110556757024,-0.109608519623,-0.101107768516,-0.111022440902,-0.112712420475,-0.118618631182,-0.1165413212,-0.122487227928,0.123509990352,0.130453457107,0.147066066281,0.153623238474,0.129180183488,0.130973359771,-0.131371573128,-0.135150890687,0.140776674559,0.156064821437,0.153724906272,-0.153231474559,-0.144695945842,0.144316111546,0.131879350839,-0.132204039055,0.135693009417,0.147040572258,-0.13931492357,0.139962452863,-0.138489757674,-0.154819998182,0.147119670325,0.176790239785,-0.173965907849,0.160029900566,0.165792917864,-0.156637852752,-0.172822068993,-0.191408831258,0.183050632996,0.160478484873,-0.1601443214,-0.173069116824,0.190989289572,0.198935878938,-0.193176656281,-0.207340476058,-0.183200823926,-0.190900494018,-0.19541638489,-0.149589315885,-0.191248660863,0.131520508904,0.147887845117,-0.152640723773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.0435319210123,-0.0474807271582,-0.0757925130567,-0.0778776397215,-0.0872898120171,-0.0880693791261,-0.0989364777332,-0.105587480738,-0.114620486276,-0.105928227593,-0.118855762345,-0.110149925012,-0.119593143074,-0.124177814628,0.12984412635,0.130542029536,0.147592815116,0.136976703924,0.132897826153,0.131888082068,-0.134950390196,-0.129876665002,0.14677704996,0.153184116562,0.154431126316,-0.153850187606,-0.140408161835,0.138033292573,0.130402395741,-0.142064129357,0.131651254552,0.150677926025,-0.142352324393,0.133437635027,-0.142154552825,-0.155618562082,0.154053985413,0.174698906548,-0.166295462149,0.158239668451,0.165833237108,-0.152522883816,-0.176207511042,-0.19671987827,0.181684695681,0.164224028206,-0.161520815789,-0.172143719358,0.194964761128,0.195875440214,-0.189575344056,-0.210303569495,-0.178599316685,-0.190656278125,-0.197661000381,-0.152498952797,-0.188794818841,0.128203244553,0.146312319819,-0.152815007537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.0466938348402,-0.0471492473113,-0.0524045031967,-0.0670096627528,-0.0715263226524,-0.0790072138031,-0.0839802705612,-0.101627079415,-0.113672899855,-0.117002504476,-0.110231265882,-0.113984663973,-0.120021990634,-0.126093562653,0.133668370643,0.138740057934,0.134068169844,0.123313864467,0.138427485523,0.134562381434,-0.135670038629,-0.132639571328,0.149009012798,0.148399202969,0.154453765233,-0.150938675624,-0.139231945625,0.130692888511,0.133435144905,-0.147184922893,0.133559849533,0.149013682963,-0.145375750811,0.129933783491,-0.146465446448,-0.154209785519,0.163845007973,0.168953507638,-0.158737018332,0.15811403409,0.163908586662,-0.151665401046,-0.179180486252,-0.199384700765,0.180268296075,0.168938574614,-0.163608019965,-0.171714559369,0.197952925688,0.192567237872,-0.186812046531,-0.211858465583,-0.175055389245,-0.190283756985,-0.199180591603,-0.156390325195,-0.185540526903,0.125402035395,0.144669144986,-0.152937311755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.0317240980705,-0.0374348477329,-0.0411262695666,-0.0449457309472,-0.0571385838462,-0.0690066977755,-0.081362854609,-0.0914462059847,-0.102772013767,-0.119661008526,-0.10992543661,-0.120120698595,-0.120506895894,-0.12869222609,0.135568758862,0.14130614371,0.118051007855,0.121965550702,0.135698556805,0.139097966871,-0.135133230771,-0.14242421073,0.145337338049,0.145556291737,0.151493991558,-0.14576337637,-0.139168428342,0.126416702695,0.138946236225,-0.146342033215,0.14139981493,0.143623862327,-0.14641460276,0.131816728883,-0.149340463638,-0.152968333442,0.172940783393,0.161333059586,-0.152341184851,0.158656880473,0.16029512999,-0.154292078958,-0.181389871152,-0.199141602594,0.17947472292,0.174085652435,-0.166426572221,-0.172063078461,0.199551008361,0.189279452911,-0.184996564608,-0.211748309205,-0.172764063349,-0.189748866752,-0.199974629988,-0.161158706142,-0.181561733331,0.123118832173,0.142956903558,-0.153003848832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.00985842258654,-0.00936645518712,-0.0294253097935,-0.0355861446757,-0.0431714154241,-0.0578729620365,-0.0753279073998,-0.0818382607883,-0.0941865340187,-0.100829537306,-0.123518925563,-0.120372575263,-0.125831186659,-0.130490027736,0.135709553932,0.128643745194,0.116319042487,0.125731320447,0.128059553533,0.14048482965,-0.139012700465,-0.150593168116,0.140718115269,0.144471540762,0.144966435413,-0.140365998817,-0.137779160831,0.128612819532,0.143167283445,-0.14273373113,0.150737181064,0.138308512217,-0.14446465652,0.139073392248,-0.15001962124,-0.153920913404,0.177758684359,0.154131018832,-0.147741507536,0.158689113801,0.155984219473,-0.159790740271,-0.182677465629,-0.196144014102,0.179718769149,0.179156527784,-0.169982130229,-0.173370923129,0.199509857351,0.186256449087,-0.184129081674,-0.209867329467,-0.171817170243,-0.189037564664,-0.200073868402,-0.16666145917,-0.176959567704,0.121344069854,0.141176828823,-0.153010817258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,-0.00830541475638,-0.00303191315576,0.000952746631827,-0.0234166665693,-0.0375715697014,-0.0478020836492,-0.0567340184572,-0.0755631971813,-0.0813314195717,-0.0928607416129,-0.117358727449,-0.125594112668,-0.130944774919,-0.132103231146,0.128471525542,0.113725218707,0.125969245238,0.126609517021,0.124542331972,0.136112366924,-0.14761001065,-0.150961499997,0.140797556647,0.142402085727,0.136915886713,-0.135589728636,-0.13488432315,0.136775524245,0.143859629112,-0.140834765762,0.155942410116,0.136590298031,-0.140524713482,0.149038923202,-0.149590352799,-0.157559081961,0.176215841884,0.149206482134,-0.145147712493,0.157267692278,0.152316405396,-0.166895977568,-0.18306472224,-0.190954122572,0.181080016795,0.183757852489,-0.174245234211,-0.175691558547,0.19777283849,0.183690843875,-0.184105404665,-0.206268986802,-0.172196149101,-0.188158809903,-0.199537240521,-0.172722856983,-0.171857068762,0.120057507737,0.139332745722,-0.152954413259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,-0.00876934719259,0.0139944437887,-0.00134659845357,0.00148425470177,-0.021078291294,-0.0349217402904,-0.0459024790008,-0.0564911016861,-0.072906692205,-0.0942978061549,-0.0977976250545,-0.127173354415,-0.132754316424,-0.130290912741,0.115725585878,0.11361855825,0.130050943309,0.126247695191,0.12720285849,0.131547320049,-0.152560359969,-0.146344069993,0.145005690144,0.138223583863,0.130227708516,-0.131109254641,-0.13276112559,0.146189059891,0.142221636711,-0.14275857834,0.154128067239,0.13944952203,-0.137411577486,0.157642328429,-0.150296823035,-0.162569038292,0.16859405279,0.147282159211,-0.144412777092,0.15404272522,0.150511080925,-0.174038327668,-0.182686850348,-0.184466421325,0.183306623619,0.187662483261,-0.179134932515,-0.178941047313,0.194490618674,0.181703420344,-0.18473186346,-0.201159496969,-0.17377443413,-0.187144838806,-0.19844784176,-0.179140286566,-0.166395119756,0.119229361996,0.137430947372,-0.15283084796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
