time,rho00re,rho00im,rho01re,rho01im,rho10re,rho10im,rho11re,rho11im,totalpop,sigmaz
0,1,0,0.0225447738165,0.00533997827644,0.0225447738165,-0.00533997827644,0,0,1,1
0.001,1,0,0.0215132967108,0.00712046332718,0.0215132967108,-0.00712046332718,0,0,1,1
0.002,1,0,0.0214989139615,0.00718249248756,0.0214989139615,-0.00718249248756,0,0,1,1
0.003,1,0,0.0216936236047,0.00823527228395,0.0216936236047,-0.00823527228395,0,0,1,1
0.004,1,0,0.0216836269947,0.00829696668283,0.0216836269947,-0.00829696668283,0,0,1,1
0.005,1,0,0.0216949488791,0.00836730680283,0.0216949488791,-0.00836730680283,0,0,1,1
0.006,1,0,0.0217058932679,0.00843805377797,0.0217058932679,-0.00843805377797,0,0,1,1
0.007,1,0,0.0210814179727,0.0107979152802,0.0210814179727,-0.0107979152802,0,0,1,1
0.008,1,0,0.0220245964687,0.0111941072799,0.0220245964687,-0.0111941072799,0,0,1,1
0.009,1,0,0.0220801716209,0.014874823095,0.0220801716209,-0.014874823095,0,0,1,1
0.01,1,0,0.0220734260724,0.0149449264171,0.0220734260724,-0.0149449264171,0,0,1,1
0.011,1,0,0.0220662595441,0.0150151195629,0.0220662595441,-0.0150151195629,0,0,1,1
0.012,1,0,0.0208177982042,0.0176547307866,0.0208177982042,-0.0176547307866,0,0,1,1
0.013,1,0,0.0208092759756,0.0177246491972,0.0208092759756,-0.0177246491972,0,0,1,1
0.014,1,0,0.0208004675875,0.0177946748438,0.0208004675875,-0.0177946748438,0,0,1,1
0.015,1,0,0.021759397417,0.0182989715906,0.021759397417,-0.0182989715906,0,0,1,1
0.016,1,0,0.0216961835654,0.0193761523719,0.0216961835654,-0.0193761523719,0,0,1,1
0.017,1,0,0.0209789498635,0.0201610328909,0.0209789498635,-0.0201610328909,0,0,1,1
0.018,1,0,0.0211134421634,0.0212565206578,0.0211134421634,-0.0212565206578,0,0,1,1
0.019,1,0,0.0220286358373,0.0218778943563,0.0220286358373,-0.0218778943563,0,0,1,1
0.02,1,0,0.0229459028791,0.0223682451224,0.0229459028791,-0.0223682451224,0,0,1,1
0.021,1,0,0.0229668058331,0.0224577459847,0.0229668058331,-0.0224577459847,0,0,1,1
0.022,1,0,0.0219662351113,0.0242976574773,0.0219662351113,-0.0242976574773,0,0,1,1
0.023,1,0,0.0223747031789,0.0252878801159,0.0223747031789,-0.0252878801159,0,0,1,1
0.024,1,0,0.0219903306803,0.0263306996236,0.0219903306803,-0.0263306996236,0,0,1,1
0.025,1,0,0.0220031936567,0.0264240773209,0.0220031936567,-0.0264240773209,0,0,1,1
0.026,1,0,0.0220155349429,0.0265177389965,0.0220155349429,-0.0265177389965,0,0,1,1
0.027,1,0,0.0225508303749,0.0274442223887,0.0225508303749,-0.0274442223887,0,0,1,1
0.028,1,0,0.0232460802008,0.0282952821095,0.0232460802008,-0.0282952821095,0,0,1,1
0.029,1,0,0.0232321302682,0.02836416423,0.0232321302682,-0.02836416423,0,0,1,1
